"title","year","genres","rating"
"The Dark Knight","2008","action,crime,drama,thriller","9 base on 2,214,588 votes"
"Dag II","2016","action,drama,war","8.9 base on 103,435 votes"
"Inception","2010","action,adventure,thriller","8.8 base on 1,969,109 votes"
"The Lord of the Rings: The Fellowship of the Ring","2001","action,adventure,drama,fantasy","8.8 base on 1,600,600 votes"
"Ratsasan","2018","action,crime,thriller","8.7 base on 16,935 votes"
"Vikram Vedha","2017","action,crime,thriller","8.7 base on 22,893 votes"
"The Matrix","1999","action","8.7 base on 1,611,516 votes"
"Star Wars: Episode V - The Empire Strikes Back","1980","action,adventure,fantasy","8.7 base on 1,120,149 votes"
"Seppuku","1962","action,drama,history","8.7 base on 34,492 votes"
"Star Wars","1977","action,adventure,fantasy","8.6 base on 1,192,626 votes"
"Shichinin no samurai","1954","action,adventure,drama","8.6 base on 303,487 votes"
"Avengers: Infinity War","2018","action,adventure","8.5 base on 777,690 votes"
"Black Friday","2004","action,crime,drama,history","8.5 base on 17,611 votes"
"Gladiator","2000","action,adventure,drama","8.5 base on 1,291,689 votes"
"Léon","1994","action,crime,drama,thriller","8.5 base on 994,281 votes"
"Terminator 2: Judgment Day","1991","action","8.5 base on 964,506 votes"
"Rangasthalam","2018","action,drama","8.4 base on 17,403 votes"
"Dhuruvangal Pathinaaru","2016","action,crime,mystery,thriller","8.4 base on 10,703 votes"
"Dangal","2016","action,biography,drama,sport","8.4 base on 143,021 votes"
"Thani Oruvan","2015","action,crime,thriller","8.4 base on 15,306 votes"
"Spider-Man: Into the Spider-Verse","2018","action,adventure,animation,family","8.4 base on 319,991 votes"
"Avengers: Endgame","2019","action,adventure,drama","8.4 base on 723,686 votes"
"The Dark Knight Rises","2012","action,adventure","8.4 base on 1,464,323 votes"
"Oldeuboi","2003","action,drama,mystery,thriller","8.4 base on 493,746 votes"
"Raiders of the Lost Ark","1981","action,adventure","8.4 base on 855,670 votes"
"Uri: The Surgical Strike","2019","action,drama,war","8.3 base on 39,587 votes"
"Aliens","1986","action,adventure,thriller","8.3 base on 632,360 votes"
"Star Wars: Episode VI - Return of the Jedi","1983","action,adventure,fantasy","8.3 base on 918,508 votes"
"K.G.F: Chapter 1","2018","action,drama","8.2 base on 30,059 votes"
"Arjun Reddy","2017","action,drama,romance","8.2 base on 19,185 votes"
"Baahubali 2: The Conclusion","2017","action,drama","8.2 base on 71,083 votes"
"Vishwaroopam","2013","action,thriller","8.2 base on 38,331 votes"
"Gangs of Wasseypur","2012","action,crime,drama,thriller","8.2 base on 75,863 votes"
"Paan Singh Tomar","2012","action,biography,crime,sport,thriller","8.2 base on 31,594 votes"
"Athadu","2005","action,thriller","8.2 base on 11,363 votes"
"V for Vendetta","2005","action,drama,thriller","8.2 base on 997,887 votes"
"Anniyan","2005","action,drama,thriller","8.2 base on 13,343 votes"
"Batman Begins","2005","action,adventure","8.2 base on 1,263,637 votes"
"Hera Pheri","2000","action,comedy,crime,drama","8.2 base on 53,150 votes"
"Satya","1998","action,crime,drama,thriller","8.2 base on 12,627 votes"
"Andaz Apna Apna","1994","action,comedy,family,romance","8.2 base on 47,687 votes"
"Indiana Jones and the Last Crusade","1989","action,adventure","8.2 base on 669,249 votes"
"Die Hard","1988","action,thriller","8.2 base on 760,354 votes"
"Ran","1985","action,drama,war","8.2 base on 106,720 votes"
"Sholay","1975","action,adventure,comedy,drama,musical,thriller,western","8.2 base on 49,496 votes"
"Yôjinbô","1961","action,drama,thriller","8.2 base on 105,401 votes"
"Sherlock Jr.","1924","action,comedy,romance","8.2 base on 38,361 votes"
"Haider","2014","action,crime,drama,thriller","8.1 base on 48,509 votes"
"Logan","2017","action,drama,thriller","8.1 base on 617,089 votes"
"Bãhubali: The Beginning","2015","action,drama","8.1 base on 98,619 votes"
"1 - Nenokkadine","2014","action,thriller","8.1 base on 42,286 votes"
"Ford v Ferrari","2019","action,biography,drama,sport","8.1 base on 219,702 votes"
"Mad Max: Fury Road","2015","action,adventure,thriller","8.1 base on 842,850 votes"
"Ai no mukidashi","2008","action,comedy,drama,romance","8.1 base on 11,016 votes"
"How to Train Your Dragon","2010","action,adventure,animation,family,fantasy","8.1 base on 644,474 votes"
"Tropa de Elite","2007","action,crime,drama,thriller","8.1 base on 95,675 votes"
"Omkara","2006","action,crime,drama,thriller","8.1 base on 18,366 votes"
"Taegukgi hwinalrimyeo","2004","action,drama,war","8.1 base on 37,043 votes"
"Salinui chueok","2003","action,crime,drama,mystery,thriller","8.1 base on 123,385 votes"
"The Legend of Bhagat Singh","2002","action,biography,drama,history","8.1 base on 14,043 votes"
"Kill Bill: Vol. 1","2003","action,crime,thriller","8.1 base on 965,850 votes"
"Sarfarosh","1999","action,drama","8.1 base on 23,322 votes"
